,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
441,0.05022153854370117,0.0034604563879767573,0.011904668807983399,0.0020113061954072243,3,1,3,0.025,poly,"{'C': 3, 'coef0': 1, 'degree': 3, 'gamma': 0.025, 'kernel': 'poly'}",0.990625,0.9875,0.9875,0.95625,0.990625,0.9824999999999999,0.01319919505121428,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0
442,0.05651044845581055,0.0037331784512497704,0.012801504135131836,0.002041664632347897,3,1,3,0.05,poly,"{'C': 3, 'coef0': 1, 'degree': 3, 'gamma': 0.05, 'kernel': 'poly'}",0.984375,0.984375,0.9875,0.965625,0.9875,0.9818749999999999,0.008244316223920604,126,1.0,1.0,1.0,1.0,1.0,1.0,0.0
443,0.06981778144836426,0.0048281260855693635,0.012400197982788085,0.002060873292141358,3,1,3,0.075,poly,"{'C': 3, 'coef0': 1, 'degree': 3, 'gamma': 0.075, 'kernel': 'poly'}",0.984375,0.984375,0.9875,0.965625,0.990625,0.9824999999999999,0.008750000000000018,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0
444,0.07512555122375489,0.004471353012616911,0.010503292083740234,0.0008894369517919279,3,1,3,0.1,poly,"{'C': 3, 'coef0': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.984375,0.98125,0.9875,0.965625,0.99375,0.9825000000000002,0.009395810236483094,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
445,0.09194140434265137,0.00872725073257824,0.013427400588989257,0.00205801597556512,3,1,3,0.5,poly,"{'C': 3, 'coef0': 1, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly'}",0.9875,0.98125,0.984375,0.965625,0.99375,0.9825000000000002,0.009395810236483094,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
446,0.05102705955505371,0.0026493598432930196,0.010599088668823243,0.0019598590965115748,3,1,3,scale,poly,"{'C': 3, 'coef0': 1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.9875,0.9875,0.9875,0.959375,0.990625,0.9825000000000002,0.011625672023586438,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
447,0.049610471725463866,0.0015347551663770203,0.01219944953918457,0.0007476797882386352,3,1,3,auto,poly,"{'C': 3, 'coef0': 1, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.990625,0.984375,0.9875,0.953125,0.9875,0.9806250000000001,0.01389131923180805,209,1.0,1.0,1.0,1.0,1.0,1.0,0.0
448,0.04400959014892578,0.004205932988300135,0.009209251403808594,0.0014754596023770338,3,5,2,0.01,poly,"{'C': 3, 'coef0': 5, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.990625,0.971875,0.978125,0.959375,0.965625,0.9731249999999999,0.010752906583803288,622,0.99921875,0.9984375,1.0,1.0,1.0,0.9995312500000001,0.0006250000000000033
449,0.04141159057617187,0.0030098276044496944,0.008205699920654296,0.0017124484535403128,3,5,2,0.025,poly,"{'C': 3, 'coef0': 5, 'degree': 2, 'gamma': 0.025, 'kernel': 'poly'}",0.990625,0.975,0.984375,0.95625,0.975,0.97625,0.011625672023586402,564,1.0,1.0,1.0,1.0,1.0,1.0,0.0
450,0.04210162162780762,0.0037478918486204458,0.010911369323730468,0.0012897730700015104,3,5,2,0.05,poly,"{'C': 3, 'coef0': 5, 'degree': 2, 'gamma': 0.05, 'kernel': 'poly'}",0.990625,0.978125,0.984375,0.959375,0.98125,0.97875,0.010532687216470448,449,1.0,1.0,1.0,1.0,1.0,1.0,0.0
451,0.04550957679748535,0.004161474109463261,0.009414768218994141,0.0016578483761483587,3,5,2,0.075,poly,"{'C': 3, 'coef0': 5, 'degree': 2, 'gamma': 0.075, 'kernel': 'poly'}",0.990625,0.978125,0.984375,0.95625,0.984375,0.97875,0.0119242400177118,449,1.0,1.0,1.0,1.0,1.0,1.0,0.0
452,0.046224546432495114,0.005756369222064607,0.010410881042480469,0.0017188084044158993,3,5,2,0.1,poly,"{'C': 3, 'coef0': 5, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.990625,0.98125,0.984375,0.95625,0.984375,0.9793749999999999,0.011956954043568098,367,1.0,1.0,1.0,1.0,1.0,1.0,0.0
453,0.054436874389648435,0.0013738213813042786,0.012115716934204102,0.0019916593480401633,3,5,2,0.5,poly,"{'C': 3, 'coef0': 5, 'degree': 2, 'gamma': 0.5, 'kernel': 'poly'}",0.984375,0.984375,0.9875,0.9625,0.990625,0.9818749999999999,0.009960860906568262,126,1.0,1.0,1.0,1.0,1.0,1.0,0.0
454,0.04441847801208496,0.00309186067240089,0.009713029861450196,0.0010029401156723193,3,5,2,scale,poly,"{'C': 3, 'coef0': 5, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.990625,0.975,0.984375,0.95625,0.975,0.97625,0.011625672023586402,564,1.0,1.0,1.0,1.0,1.0,1.0,0.0
455,0.043103790283203124,0.004731195461235858,0.009800338745117187,0.0011667378571302428,3,5,2,auto,poly,"{'C': 3, 'coef0': 5, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.9875,0.975,0.98125,0.95625,0.965625,0.9731249999999999,0.011110243021644484,622,1.0,1.0,1.0,1.0,1.0,1.0,0.0
456,0.040910863876342775,0.0062976122400259975,0.008800220489501954,0.0013626710000558602,3,5,3,0.01,poly,"{'C': 3, 'coef0': 5, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.9875,0.975,0.98125,0.95625,0.965625,0.9731249999999999,0.011110243021644484,622,1.0,1.0,1.0,1.0,1.0,1.0,0.0
457,0.03980612754821777,0.005606770905515014,0.009598779678344726,0.0017442717807674014,3,5,3,0.025,poly,"{'C': 3, 'coef0': 5, 'degree': 3, 'gamma': 0.025, 'kernel': 'poly'}",0.990625,0.978125,0.984375,0.959375,0.98125,0.97875,0.010532687216470448,449,1.0,1.0,1.0,1.0,1.0,1.0,0.0
458,0.04290771484375,0.003675353695630345,0.010809230804443359,0.0021593740020767137,3,5,3,0.05,poly,"{'C': 3, 'coef0': 5, 'degree': 3, 'gamma': 0.05, 'kernel': 'poly'}",0.990625,0.98125,0.984375,0.95625,0.984375,0.9793749999999999,0.011956954043568098,367,1.0,1.0,1.0,1.0,1.0,1.0,0.0
459,0.0433098316192627,0.0025061467515555334,0.011398887634277344,0.0011992145158937052,3,5,3,0.075,poly,"{'C': 3, 'coef0': 5, 'degree': 3, 'gamma': 0.075, 'kernel': 'poly'}",0.990625,0.98125,0.984375,0.953125,0.9875,0.9793749999999999,0.013491895715576815,367,1.0,1.0,1.0,1.0,1.0,1.0,0.0
460,0.048017263412475586,0.0028710524042701493,0.010904216766357422,0.001014577141716035,3,5,3,0.1,poly,"{'C': 3, 'coef0': 5, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.990625,0.984375,0.9875,0.953125,0.9875,0.9806250000000001,0.01389131923180805,209,1.0,1.0,1.0,1.0,1.0,1.0,0.0
461,0.07641692161560058,0.006092527820835835,0.012103557586669922,0.0019668078455479486,3,5,3,0.5,poly,"{'C': 3, 'coef0': 5, 'degree': 3, 'gamma': 0.5, 'kernel': 'poly'}",0.984375,0.98125,0.9875,0.965625,0.99375,0.9825000000000002,0.009395810236483094,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
462,0.044106578826904295,0.0035750919617386495,0.009601068496704102,0.0019592510413162854,3,5,3,scale,poly,"{'C': 3, 'coef0': 5, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.990625,0.978125,0.984375,0.959375,0.98125,0.97875,0.010532687216470448,449,1.0,1.0,1.0,1.0,1.0,1.0,0.0
463,0.04391484260559082,0.0031222055570121854,0.008799171447753907,0.0016009751353161545,3,5,3,auto,poly,"{'C': 3, 'coef0': 5, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.990625,0.978125,0.984375,0.959375,0.978125,0.978125,0.010458250331675948,508,1.0,1.0,1.0,1.0,1.0,1.0,0.0
464,0.0436129093170166,0.001920029557252879,0.007602071762084961,0.0011989614271697589,3,10,2,0.01,poly,"{'C': 3, 'coef0': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.984375,0.971875,0.978125,0.95625,0.953125,0.96875,0.012183492931011201,692,0.99921875,1.0,1.0,1.0,1.0,0.9998437499999999,0.0003124999999999822
465,0.04211955070495606,0.004670565368738284,0.008902311325073242,0.001425499010082741,3,10,2,0.025,poly,"{'C': 3, 'coef0': 10, 'degree': 2, 'gamma': 0.025, 'kernel': 'poly'}",0.9875,0.971875,0.98125,0.95625,0.959375,0.9712499999999998,0.012086924753633571,653,1.0,1.0,1.0,1.0,1.0,1.0,0.0
