,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.10289397239685058,0.008272514571687688,0.07732672691345215,0.008842134093200423,0.1,0.01,rbf,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",0.95,0.95625,0.953125,0.93125,0.953125,0.9487500000000001,0.008970437559004575,61,0.95625,0.9578125,0.953125,0.96328125,0.95625,0.95734375,0.00333658695375977
1,0.10272016525268554,0.011864205491252116,0.06981534957885742,0.005624072138824902,0.1,0.025,rbf,"{'C': 0.1, 'gamma': 0.025, 'kernel': 'rbf'}",0.965625,0.959375,0.965625,0.94375,0.96875,0.960625,0.008970437559004577,59,0.96953125,0.96875,0.96640625,0.97421875,0.971875,0.9701562499999999,0.0026791294061691093
2,0.15112805366516113,0.012930410004206883,0.08601927757263184,0.01528924285103003,0.1,0.05,rbf,"{'C': 0.1, 'gamma': 0.05, 'kernel': 'rbf'}",0.959375,0.96875,0.96875,0.95,0.965625,0.9625,0.007126096406869626,57,0.97421875,0.9734375,0.97265625,0.98046875,0.9796875,0.9760937500000001,0.0032997987628035886
3,0.21200108528137207,0.013771035738086993,0.11812939643859863,0.006536462583137436,0.1,0.075,rbf,"{'C': 0.1, 'gamma': 0.075, 'kernel': 'rbf'}",0.94375,0.95,0.953125,0.934375,0.9625,0.9487500000000001,0.00939581023648309,61,0.975,0.97265625,0.971875,0.97890625,0.98046875,0.97578125,0.003387419279481049
4,0.2218113899230957,0.010205090169801118,0.12636008262634277,0.007052499115242247,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.890625,0.90625,0.915625,0.89375,0.93125,0.9075000000000001,0.014869221566712899,63,0.96171875,0.94921875,0.95859375,0.9640625,0.96875,0.9604687500000001,0.006528932004930058
5,0.24438943862915039,0.029302639540646644,0.14047441482543946,0.024470882393259792,0.1,0.5,rbf,"{'C': 0.1, 'gamma': 0.5, 'kernel': 'rbf'}",0.1875,0.190625,0.271875,0.1875,0.2,0.20749999999999996,0.03251201700909987,71,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.1526407241821289,0.025454864570114675,0.10986223220825195,0.010025432429491343,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.965625,0.965625,0.965625,0.94375,0.96875,0.9618749999999998,0.009142961773954869,58,0.96875,0.96796875,0.96796875,0.97734375,0.971875,0.9707812499999999,0.003583545294118633
7,0.12793421745300293,0.011349889579226672,0.10714206695556641,0.014658871545671448,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.959375,0.959375,0.965625,0.940625,0.965625,0.9581250000000001,0.009185586535436885,60,0.96640625,0.96875,0.9640625,0.971875,0.96875,0.96796875,0.002614562582918984
8,0.06579060554504394,0.009836513155396152,0.0718909740447998,0.008428370276549626,0.5,0.01,rbf,"{'C': 0.5, 'gamma': 0.01, 'kernel': 'rbf'}",0.971875,0.971875,0.984375,0.95625,0.984375,0.9737500000000001,0.010383279828647575,55,0.978125,0.98125,0.9765625,0.9859375,0.97890625,0.98015625,0.003262595784034551
9,0.07655277252197265,0.004185863145988526,0.06354761123657227,0.004379450100463445,0.5,0.025,rbf,"{'C': 0.5, 'gamma': 0.025, 'kernel': 'rbf'}",0.98125,0.978125,0.984375,0.95625,0.9875,0.9775,0.011075028216668333,41,0.98828125,0.98984375,0.99140625,0.99296875,0.9890625,0.9903125000000002,0.0016828640022295298
